page,pageRow,drugName,company,drugCode,formPay,classEffect,kind,substituteEtc,componentCode,sourcePdf,sourcePrintedAt
1,1,건일디아제팜정2mg,건일제약,G03900021,내복약품비급여,정신신경용제,전문,,142902ATB,약품기본정보.pdf,2026-06-26
1,2,건일디아제팜정5mg,건일제약,G03900031,내복약품비급여,정신신경용제,전문,,142903ATB,약품기본정보.pdf,2026-06-26
1,3,구주디아제팜주사,구주제약(주),669803820,주사약품비급여,정신신경용제,전문,,142901BIJ,약품기본정보.pdf,2026-06-26
1,4,구주디아제팜주사,구주제약,G06100141,주사약품 삭제,정신신경용제,전문,,142901BIJ,약품기본정보.pdf,2026-06-26
1,5,구주염산날부핀주사10밀리그람,구주제약(주),669800230,주사약품비급여,진통， 소,전문,,198901BIJ,약품기본정보.pdf,2026-06-26
1,6,구주염산날부핀주사10mg,구주제약,G06100121,주사약품 삭제,진통， 소,전문,,198901BIJ,약품기본정보.pdf,2026-06-26
1,7,구주염산날부핀주사20밀리그람,구주제약(주),669800240,주사약품비급여,진통， 소,전문,,198902BIJ,약품기본정보.pdf,2026-06-26
1,8,구주염산날부핀주사20mg,구주제약,G06100131,주사약품 삭제,진통， 소,전문,,198902BIJ,약품기본정보.pdf,2026-06-26
1,9,국제디에칠프로피온정(염산디에칠프국제약품공업(주),,643700110,내복약품비급여,자율신경제,전문,,551601ATB,약품기본정보.pdf,2026-06-26
1,10,국제펜터민정(염산펜터민),국제약품공업(주),643700760,내복약품비급여,자율신경제,전문,,552701ATB,약품기본정보.pdf,2026-06-26
1,11,극동디아제팜주사액,극동제약,G16000011,주사약품 삭제,정신신경용제,전문,,B0066201,약품기본정보.pdf,2026-06-26
1,12,극동펜타조신주사액,극동제약,G16000021,주사약품 삭제,진통， 소,전문,,B0155501,약품기본정보.pdf,2026-06-26
1,13,나리온정0.125MG,대광제약,G14200041,내복약품 삭제,최면진정제,전문,,A0201701,약품기본정보.pdf,2026-06-26
1,14,나리온정0.25MG,대광제약,G14200051,내복약품 삭제,최면진정제,전문,,A0201801,약품기본정보.pdf,2026-06-26
1,15,나페존주,구주제약,G16400011,주사약품 삭제,진통， 소,전문,,210502BIJ,약품기본정보.pdf,2026-06-26
1,16,나페존주(펜타조신),구주제약(주),669800560,주사약품비급여,진통， 소,전문,,210502BIJ,약품기본정보.pdf,2026-06-26
1,17,날페인주사10밀리그람(염산날부핀명문제약(주),,649800050,주사약품 삭제,진통， 소,전문,,198901BIJ,약품기본정보.pdf,2026-06-26
1,18,날페인주사10밀리그램(날부핀염산명문제약(주),,649800051,주사약품 급여,진통， 소,전문,,198930BIJ,약품기본정보.pdf,2026-06-26
1,19,날페인주사10mg,명문제약,G03700301,주사약품 삭제,진통， 소,전문,,198901BIJ,약품기본정보.pdf,2026-06-26
1,20,날페인주사20밀리그람(염산날부핀명문제약(주),,649800060,주사약품 삭제,진통， 소,전문,,198902BIJ,약품기본정보.pdf,2026-06-26
1,21,날페인주사20밀리그램(날부핀염산명문제약(주),,649800061,주사약품 삭제,진통， 소,전문,,198931BIJ,약품기본정보.pdf,2026-06-26
1,22,날페인주사20mg,명문제약,G03700311,주사약품 삭제,진통， 소,전문,,198902BIJ,약품기본정보.pdf,2026-06-26
1,23,넬슨브롬화수소산덱스트로메토르판한국넬슨제약(주),,656700270,내복약품비급여,진해거담제,전문,,142601ATB,약품기본정보.pdf,2026-06-26
1,24,노나제팜정10mg,명인제약,G01200241,내복약품비급여,정신신경용제,전문,,203002ATB,약품기본정보.pdf,2026-06-26
